City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,skelleftea,64.7507,20.9528,2.22,100,75,4.12,SE,1714062241
270,akjoujt,19.6969,-14.4164,41.92,10,14,5.75,MR,1714062242
271,tera,14.0078,0.7531,43.14,10,32,1.43,NE,1714062243
272,florencia,43.7667,11.25,17.42,55,75,3.6,IT,1714062168
273,lata,40.1629,-8.3327,17.18,57,42,5.77,PT,1714062246
274,lospalos,-8.5186,127.0025,22.08,99,37,1.32,TL,1714062247
275,belmonte,-15.8631,-38.8828,29.31,64,3,3.45,BR,1714062248
276,sao paulo de olivenca,-3.3783,-68.8725,32.9,52,86,1.31,BR,1714062250
277,semey,50.4111,80.2275,4.5,48,5,5.58,KZ,1714062251
278,mount pearl,47.5166,-52.7813,12.19,74,75,11.32,CA,1714062252
279,portage la prairie,49.9728,-98.2926,19.5,33,75,11.32,CA,1714062014
280,happy valley-goose bay,53.3168,-60.3315,-2.83,80,100,6.17,CA,1714062255
281,sitka,57.0531,-135.33,6.94,76,20,0.0,US,1714062047
282,richards bay,-28.783,32.0377,22.94,87,93,3.15,ZA,1714062239
283,toropets,56.4978,31.6353,10.9,70,88,4.34,RU,1714062258
284,itaituba,-4.2761,-55.9836,28.09,83,100,0.0,BR,1714062260
285,mossel bay,-34.1831,22.146,17.96,89,100,2.22,ZA,1714062261
286,crockett,31.3182,-95.4566,20.99,100,20,0.0,US,1714062262
287,coahuayana de hidalgo,18.7,-103.6583,31.02,34,47,2.03,MX,1714062263
288,kuala tungkal,-0.8167,103.4667,26.12,90,100,1.34,ID,1714062265
289,coihueco,-36.6167,-71.8333,14.41,77,75,2.57,CL,1714062266
290,namibe,-15.1961,12.1522,25.68,75,14,5.72,AO,1714062267
291,carauari,-4.8828,-66.8958,32.31,52,90,1.56,BR,1714062268
292,kailua-kona,19.6406,-155.9956,22.98,85,100,2.57,US,1714062269
293,stuttgart,48.7823,9.177,10.98,56,20,4.63,DE,1714062228
294,tuy hoa,13.0833,109.3,26.06,91,1,2.22,VN,1714062272
295,egilsstadir,65.2653,-14.3948,2.95,87,100,5.14,IS,1714062273
296,tulun,54.5611,100.5792,-0.4,66,99,2.28,RU,1714062275
297,ixtapa,20.7,-105.2,25.57,65,0,1.03,MX,1714062276
298,longyearbyen,78.2186,15.6401,-1.09,69,20,6.69,SJ,1714062277
299,san patricio,28.017,-97.5169,27.05,70,63,9.12,US,1714062278
300,shalqar,47.8333,59.6,19.44,50,9,5.21,KZ,1714062256
301,kendallville,41.4414,-85.265,10.28,65,0,2.57,US,1714062281
302,zelenoborskiy,66.845,32.3622,0.9,87,100,1.0,RU,1714062282
303,keflavik,64.0049,-22.5624,10.95,71,75,8.23,IS,1714062283
304,treinta y tres,-33.2333,-54.3833,19.83,60,33,4.11,UY,1714062183
305,mendoza,-32.8908,-68.8272,17.74,59,20,2.06,AR,1714061859
306,ponta delgada,37.7333,-25.6667,18.44,68,20,4.63,PT,1714062287
307,mata-utu,-13.2816,-176.1745,28.99,72,56,3.99,WF,1714062288
308,karakoyunlu,39.8704,43.6301,17.89,50,9,1.23,TR,1714062290
309,westport,41.1415,-73.3579,12.83,41,20,5.14,US,1714062101
310,umba,66.6871,34.3429,0.47,90,100,0.99,RU,1714062292
311,imbituba,-28.24,-48.6703,18.62,83,93,2.58,BR,1714062293
312,choyr,46.3611,108.3611,1.52,98,100,4.77,MN,1714062295
313,oruro,-17.9833,-67.15,18.27,45,20,2.57,BO,1714062296
314,anaconda,46.1285,-112.9423,9.55,51,16,0.52,US,1714062297
315,khuzdar,27.7384,66.6434,22.23,39,65,4.16,PK,1714062298
316,haiku-pauwela,20.9219,-156.3051,22.25,89,40,5.66,US,1714062301
317,saint louis,38.6334,-90.4001,15.68,58,75,5.14,US,1714061898
318,la sarre,48.8002,-79.1996,0.69,61,37,2.45,CA,1714062191
319,fort-de-france,14.6089,-61.0733,30.97,58,75,7.72,MQ,1714062305
320,bakchar,57.0186,82.0711,-1.66,91,39,1.85,RU,1714062306
321,hammerfest,70.6634,23.6821,3.25,60,0,4.12,NO,1714062307
322,nikolayevsk-on-amure,53.1406,140.73,6.79,85,89,2.68,RU,1714062309
323,midland,31.9974,-102.0779,24.71,64,75,10.29,US,1714062022
324,shingu,33.7333,135.9833,14.28,79,67,2.33,JP,1714062311
325,bengkulu,-3.8004,102.2655,26.06,90,100,1.53,ID,1714062312
326,okhotsk,59.3833,143.3,-1.05,99,100,2.19,RU,1714062313
327,masterton,-40.9597,175.6575,15.06,76,100,5.98,NZ,1714062315
328,enewetak,11.3474,162.3373,27.56,79,93,9.02,MH,1714062316
329,valdivia,-39.8142,-73.2459,16.05,87,31,2.95,CL,1714062193
330,galveston,29.3669,-94.9669,26.14,82,100,6.17,US,1714062318
331,kamyzyak,46.11,48.0736,17.99,63,0,4.0,RU,1714062319
332,cabo san lucas,22.8909,-109.9124,33.17,18,0,4.63,MX,1714062320
333,bela vista,-22.1089,-56.5211,35.5,27,10,3.33,BR,1714062321
334,broken hill,-31.95,141.4333,10.42,70,0,3.76,AU,1714062323
335,olovyannaya,50.95,115.5667,2.8,57,45,6.05,RU,1714062324
336,vernon,50.2581,-119.2691,13.5,53,71,0.89,CA,1714062327
337,isla del bosque,22.7333,-105.85,27.64,40,31,2.05,MX,1714062328
338,mil'kovo,55.6078,37.7956,20.11,70,100,1.72,RU,1714062331
339,arys,42.4252,68.795,19.93,50,96,6.56,KZ,1714062332
340,okha,53.5739,142.9478,5.14,86,86,1.79,RU,1714062314
341,deschutes river woods,43.9915,-121.3584,8.52,66,100,5.66,US,1714062335
342,burutu,5.3509,5.5076,31.45,65,99,4.72,NG,1714062336
343,neiafu,-18.65,-173.9833,27.38,94,40,2.57,TO,1714062337
344,ilebo,-4.3167,20.5833,26.07,82,100,1.14,CD,1714062283
345,kidal,18.4411,1.4078,41.08,6,6,7.45,ML,1714062340
346,ust'-ilimsk,58.0006,102.6619,0.24,92,100,3.58,RU,1714062341
347,ladybrand,-29.1945,27.4574,17.76,29,2,2.8,ZA,1714062344
348,tura,25.5198,90.2201,27.21,17,0,1.62,IN,1714062337
349,malvik,63.4333,10.6833,9.77,44,40,5.66,NO,1714062347
350,uliastay,47.7417,96.8444,-2.4,74,68,3.07,MN,1714062348
351,new plymouth,-39.0667,174.0833,16.0,92,97,5.72,NZ,1714062349
352,fale old settlement,-9.3852,-171.2468,29.2,75,19,5.07,TK,1714062350
353,port alfred,-33.5906,26.891,16.77,90,97,0.89,ZA,1714062352
354,olinda,-8.0089,-34.8553,30.85,66,40,4.12,BR,1714062147
355,upper hutt,-41.1383,175.0502,15.62,85,99,6.07,NZ,1714062354
356,veinticinco de mayo,-35.4323,-60.1727,14.99,88,95,0.89,AR,1714062096
357,kindberg,47.5,15.45,7.46,76,93,1.85,AT,1714062357
358,beyneu,45.3167,55.2,21.65,42,39,3.7,KZ,1714062358
359,kudepsta,43.4944,39.8964,24.03,41,20,3.13,RU,1714062359
360,faya-largeau,17.9257,19.1043,42.54,6,7,3.63,TD,1714062361
361,igarka,67.4667,86.5833,-9.43,93,25,3.58,RU,1714062362
